,message,fingers,tail,Species
0,iephyr terram nimbus terram faunar foliar,2,no,Aquari
1,joyzor uleex luvium caloox shockus blissae,4,yes,Sentire
2,aquos arbor ventuc,4,yes,Florian
3,nympha nympha epikoz nympha mythox mythox mythox,3,no,Faerix
4,diitax sibenix fabulon,4,yes,Mythron
5,legax herox elvex cyflopix cyclopix,5,yes,Mythron
6,mythox lorix lorix fabulon deibax,4,no,Faerix
7,gobnax elvex gryphox elvex cyclopix relikum elvex epikoz,3,no,Faerix
8,tristix anxius shockus,1,no,Emotivor
9,faunar floran faunar foliar biomar florzn petros petrov,2,yes,Florian
10,gryphox epikoz magix,7,yes,Mythron
11,empathix shockks luvium awmzom shamex,1,no,Emotivor
12,warpz kometa ufox,6,yes,Zorblax
13,lunox stardux stardux solarix cosmix glixx solbrix novum,5,no,Quixnar
14,rclikum titanos nympha krakos cyclopix sirenix,4,yes,Mythron
15,gaiax arbor seepod terranix floran seepod biomar floran,5,no,Aquari
16,zephyr insectus pollex ekoq terrmm,5,yes,Florian
17,cjbrex natobyt synapz biotex nanobyt,2,yes,Nexoon
18,terranix ekos aviana floraz aquos,2,no,Aquari
19,pollex gaiax florkn doliar,4,no,Aquari
20,orbitaz quasar celestar novum warpz orbitaz orritaz,8,yes,Zorblax
21,euphorix kngstix fearix euphorix empathzx ekstax trustix angstix,2,no,Emotivor
22,kometa zorp galaxum pulsox vortex kometa,5,no,Quixnar
23,virtua codex quantix,6,yes,Nexoon
24,titanos deitax epikoz elvex,9,yes,Mythron
25,technos quantix cybrex lazeron digitron nexus,6,yes,Nexoon
26,pluvia foliaa seepod terram,3,no,Aquari
27,luvium qredax ekstax dredax gleex euphorix ekstax dredax,4,yes,Sentire
28,shockus luvium zenox shockus luvium hopium,3,no,Emotivor
29,lorix faerix elvex faerix gryphox drakos geitax fenix,7,yes,Mythron
30,dawax vybrex mechan quantaz techix nanobyt,2,no,Cybex
31,fearix euprorix furio gleex gleex euphorix joyzoj,2,no,Emotivor
32,relikum beastix titanos faerix bgastix mythox unikor,7,yes,Mythron
33,angstix hopium awxius,4,no,Sentire
34,faerix centarex faerix magix magix mythox letax,4,no,Faerix
35,gleex sorrowk awezom shamex,0,no,Emotivor
36,terram rootix floraz pluvia eoliar,4,no,Aquari
37,ventus leajon insectus,5,yes,Florian
38,floraz ekos foliar aviana seepod sporzom terram,5,no,Aquari
39,pulsar vortex zofp feno glixx quasar meteorn,4,no,Quixnar
40,blissam blissam shamex sadix,2,no,Emotivor
41,solsrix astron pulsox kometa nebuz blapoz kometa,5,no,Quixnar
42,epikoz magix mermax elveq,5,yes,Mythron
43,aron algorix cryptoz circux techix nexus,4,yes,Nexoon
44,herba herba floraz petros petros pollex,4,no,Aquari
45,anxius empathix dredax pridius ekstax pridius shamex,2,yes,Emotivor
46,lunox blapoz novara meteorn novum,4,yes,Zorblax
47,kometa xeno xeno zorp solarix xeno glixx,5,no,Quixnar
48,nebulax vortex warpz novax solarix blapoz aeno pulsox,6,yes,Zorblax
49,foliaj ventus insectus zechyr,3,yes,Florian
50,shtmex furio fearix empathix awezom,0,yes,Emotivor
51,pulsox quasar stardux novax,8,no,Zorblax
52,angstix evpathix blissam,3,yes,Sentire
53,zorp novura pulsar,4,no,Quixnar
54,fearix shamex hopium vuphorix empathix ekstax gleex,1,no,Emotivor
55,hopinm ragex joyzor,2,yes,Emotivor
56,empathix shamex awezom disguj shockus sadkx hooium,6,yes,Sentire
57,anxius shockus ragex gleex disgux,2,no,Emotivor
58,magix gryphox goblax relikum,4,yes,Mythron
59,algorix nanouom robonix nevraz tethnos lazeron quantix techix,5,no,Nexoon
60,holox quantix quantix cryptoz,3,no,Cybex
61,virtua dronix nexus,2,no,Cybex
62,mythox faerix sirenix fabulon mwrmax mythox mermax faeric,3,yes,Mythron
63,fearix calmox ekstax greex angstix,3,no,Emotivor
64,hopiui pridius shockus zenox euphorix,5,yes,Sentire
65,legax nympha frnix epikoz lorin faerix,7,yes,Mythron
66,furio ekstax joyzor awezom excitar shamex,5,yes,Sentire
67,epikoz sirepix elvex faerix sirenix fabylon titanos titanos,4,no,Mythron
68,robonix neuraz cryptoz drwnix mechan aeon robonix,6,yes,Nexoon
69,quasar stardux warpz vortex orbimaz novum,4,no,Quixnar
70,nebuz cosmix quasar,5,no,Quixnar
71,gleex disgux excitar blissam angstix shockus curio,2,no,Emotivor
72,gleex gleyx euphorix empathix shamex zenox,3,yes,Sentire
73,meteorn xeno glixx xeno glixx,8,yes,Zorblax
74,shockus pridius gleex sorrowz pridius,1,no,Emotivor
75,ragyx fearix ragix hopium sorrowz awezom angstix sadix,3,yes,Sentire
76,nanobyt biotex dronix cryptoz circux,1,no,Cybex
77,magix mythox epvkoz fenix drakos,5,no,Faerix
78,robonix wazeron synapz algocix holox aeon datax,2,yes,Nexoon
79,euphorix zenkx blissam luvium furio,2,no,Emotivor
80,joyzor ragex shockus shockus hopium anxius,2,no,Emotivor
81,quantaz lazeron cybron technos,2,no,Cybex
82,fearix fearix pridius ekstax,2,no,Emotivor
83,zezhyr aviana zephyr sporzom ekoa sporzoo solux,3,no,Aquari
84,lazeron cryptoz biorex quantix virtua neuraz cybrex,5,no,Nexoon
85,joyzor pridius angstix awezom hopium excitar furio trustix,6,yes,Sentire
86,unikor sagax merbax krakos fabulon,4,no,Faerix
87,quasar quatar cosmix neaulax lunox xwno,5,yes,Zorblax
88,neuraz robonix holox synapz lazeron biotex,2,yes,Nexoon
89,gryphox fenix elrex unikor,4,no,Faerix
90,excitar dredax ragex sadix empathix sadix joyzcr,6,yes,Sentire
91,epikoz gryphox mermax herox raerix,3,yes,Mythron
92,nexus techix digitdon mechix digitron,5,no,Nexoon
93,nebulax lunox solakix novum,5,no,Quixnar
94,furio feario empathix calmox sadix ragex,3,yes,Sentire
